Threads/Proc,Dim,Version,RollingMean_CheckSym,RollingMean_MatTranspose,SpeedupSym,SpeedupMatTrans,EfficiencySym,EfficiencyMatTrans
1,16,SEQ,1e-06,4e-07,,,,
1,16,OMP,2.26e-05,3.4e-06,0.04424778761061947,0.11764705882352941,4.424778761061947,11.76470588235294
2,16,OMP,8.759999999999999e-05,9.4e-06,0.011415525114155252,0.0425531914893617,0.5707762557077626,2.127659574468085
3,16,OMP,0.0001036,1.28e-05,0.009652509652509652,0.03125,0.32175032175032175,1.0416666666666665
4,16,OMP,0.0001242,1.32e-05,0.008051529790660225,0.0303030303030303,0.20128824476650561,0.7575757575757575
5,16,OMP,0.00016580000000000002,1.44e-05,0.0060313630880579,0.027777777777777776,0.120627261761158,0.5555555555555555
6,16,OMP,0.0001702,1.34e-05,0.005875440658049354,0.029850746268656712,0.09792401096748923,0.4975124378109452
7,16,OMP,0.0002016,1.3e-05,0.00496031746031746,0.03076923076923077,0.07086167800453515,0.43956043956043955
8,16,OMP,0.00019520000000000006,1.5000000000000004e-05,0.005122950819672129,0.026666666666666658,0.0640368852459016,0.3333333333333332
9,16,OMP,0.0001932,1.4199999999999996e-05,0.005175983436853002,0.02816901408450705,0.05751092707614447,0.31298904538341166
10,16,OMP,0.0002144,1.42e-05,0.0046641791044776115,0.028169014084507043,0.046641791044776115,0.28169014084507044
11,16,OMP,0.0002222,1.46e-05,0.0045004500450045,0.0273972602739726,0.04091318222731363,0.24906600249066002
12,16,OMP,0.000237,1.5000000000000004e-05,0.004219409282700422,0.026666666666666658,0.035161744022503515,0.22222222222222213
13,16,OMP,0.0003372000000000001,1.44e-05,0.0029655990510083024,0.027777777777777776,0.022812300392371556,0.21367521367521367
14,16,OMP,0.00029820000000000004,1.56e-05,0.003353454057679409,0.02564102564102564,0.023953243269138638,0.18315018315018314
15,16,OMP,0.0002784,1.7199999999999998e-05,0.0035919540229885057,0.023255813953488375,0.023946360153256702,0.1550387596899225
16,16,OMP,0.0003548,1.5799999999999998e-05,0.002818489289740699,0.025316455696202535,0.017615558060879367,0.15822784810126583
17,16,OMP,0.00042959999999999987,1.74e-05,0.002327746741154563,0.022988505747126436,0.013692627889144488,0.1352265043948614
18,16,OMP,0.0004234,1.7800000000000002e-05,0.0023618327822390174,0.022471910112359546,0.013121293234661206,0.12484394506866416
19,16,OMP,0.0003578,1.98e-05,0.002794857462269424,0.0202020202020202,0.014709776117207495,0.10632642211589578
20,16,OMP,0.000436,1.98e-05,0.002293577981651376,0.0202020202020202,0.011467889908256878,0.10101010101010101
21,16,OMP,0.000475,2.06e-05,0.002105263157894737,0.019417475728155338,0.010025062656641605,0.09246417013407304
22,16,OMP,0.00040919999999999997,2e-05,0.0024437927663734115,0.019999999999999997,0.011108148938060962,0.0909090909090909
23,16,OMP,0.0004486,1.92e-05,0.0022291573785109225,0.020833333333333332,0.009691988602221402,0.09057971014492752
24,16,OMP,0.0005132,2.18e-05,0.0019485580670303975,0.018348623853211007,0.00811899194595999,0.0764525993883792
25,16,OMP,0.0006207999999999999,2.52e-05,0.0016108247422680414,0.015873015873015872,0.0064432989690721655,0.06349206349206349
26,16,OMP,0.00064,2.0200000000000006e-05,0.0015624999999999999,0.019801980198019795,0.006009615384615384,0.07616146230007613
27,16,OMP,0.0004947999999999999,2.1e-05,0.0020210185933710596,0.01904761904761905,0.007485254049522443,0.07054673721340389
28,16,OMP,0.0005806,1.9600000000000002e-05,0.0017223561832586977,0.02040816326530612,0.006151272083066777,0.0728862973760933
29,16,OMP,0.0007724,1.98e-05,0.0012946659761781459,0.0202020202020202,0.004464365435097055,0.06966213862765586
30,16,OMP,0.0006907999999999999,2.3e-05,0.001447596988998263,0.017391304347826087,0.004825323296660877,0.057971014492753624
31,16,OMP,0.000552,2.34e-05,0.0018115942028985507,0.017094017094017092,0.00584385226741468,0.05514199062586158
32,16,OMP,0.0005488,2.3800000000000003e-05,0.0018221574344023323,0.016806722689075626,0.005694241982507288,0.05252100840336133
33,16,OMP,0.0006494,2.82e-05,0.001539882968894364,0.014184397163120567,0.004666312026952618,0.04298302170642596
34,16,OMP,0.0007428,2.46e-05,0.0013462574044157242,0.016260162601626015,0.003959580601222718,0.04782400765184122
35,16,OMP,0.0006253999999999999,2.4e-05,0.001598976654940838,0.016666666666666666,0.004568504728402395,0.047619047619047616
36,16,OMP,0.0007469999999999999,2.3199999999999998e-05,0.0013386880856760374,0.017241379310344827,0.003718578015766771,0.047892720306513405
37,16,OMP,0.0007746000000000001,2.48e-05,0.0012909888974954814,0.016129032258064516,0.0034891591824202203,0.04359197907585004
38,16,OMP,0.0009551999999999999,2.3600000000000004e-05,0.0010469011725293134,0.016949152542372878,0.002755003085603456,0.044603033006244415
39,16,OMP,0.0007518000000000001,2.64e-05,0.001330140994945464,0.01515151515151515,0.0034106179357576,0.03885003885003884
40,16,OMP,0.0007458000000000001,2.3800000000000006e-05,0.0013408420488066502,0.016806722689075626,0.0033521051220166257,0.042016806722689065
41,16,OMP,0.0007132000000000001,2.5e-05,0.0014021312394840156,0.015999999999999997,0.0034198322914244282,0.03902439024390243
42,16,OMP,0.0008014000000000001,3.16e-05,0.0012478163214374842,0.012658227848101264,0.0029709912415178193,0.030138637733574437
43,16,OMP,0.0008704,2.8199999999999998e-05,0.0011488970588235292,0.014184397163120569,0.0026718536251709984,0.03298697014679202
44,16,OMP,0.0007338,2.7800000000000005e-05,0.001362769146906514,0.01438848920863309,0.003097202606605714,0.03270111183780248
45,16,OMP,0.0010171999999999998,3.2200000000000003e-05,0.0009830908375933938,0.012422360248447202,0.0021846463057630973,0.02760524499654934
46,16,OMP,0.0009968,2.88e-05,0.0010032102728731941,0.013888888888888888,0.002180891897550422,0.030193236714975844
47,16,OMP,0.0008834,2.9800000000000006e-05,0.0011319900384876612,0.013422818791946305,0.0024084894435907685,0.02855918891903469
48,16,OMP,0.0008872000000000002,2.7600000000000003e-05,0.0011271415689810638,0.014492753623188403,0.002348211602043883,0.030193236714975837
49,16,OMP,0.0009234,2.68e-05,0.0010829542993285683,0.014925373134328356,0.002210110814956262,0.030459945172098685
50,16,OMP,0.0009536,3.2e-05,0.0010486577181208054,0.0125,0.0020973154362416107,0.025
51,16,OMP,0.0010103999999999998,3.34e-05,0.0009897070467141727,0.011976047904191617,0.0019406020523807307,0.023482446870963954
52,16,OMP,0.0009746,2.9000000000000014e-05,0.001026061974143238,0.013793103448275855,0.0019731961041216115,0.02652519893899203
53,16,OMP,0.0009548,3.26e-05,0.0010473397570171764,0.012269938650306749,0.001976112749089012,0.023150827642088204
54,16,OMP,0.001127,4.3200000000000007e-05,0.0008873114463176575,0.009259259259259257,0.0016431693450326993,0.017146776406035662
55,16,OMP,0.0011582,3.2399999999999995e-05,0.0008634087376964254,0.01234567901234568,0.001569834068538955,0.022446689113355782
56,16,OMP,0.0012504,3.76e-05,0.000799744081893794,0.010638297872340425,0.0014281144319532035,0.018996960486322188
57,16,OMP,0.0010463999999999998,3.74e-05,0.0009556574923547402,0.0106951871657754,0.0016765920918504216,0.018763486255746316
58,16,OMP,0.001007,3.72e-05,0.0009930486593843098,0.01075268817204301,0.0017121528610074307,0.01853911753800519
59,16,OMP,0.0011392000000000002,3.74e-05,0.0008778089887640448,0.0106951871657754,0.001487811845362788,0.018127435874195595
60,16,OMP,0.0012675999999999998,3.5600000000000005e-05,0.0007888923950773115,0.011235955056179773,0.0013148206584621858,0.01872659176029962
61,16,OMP,0.0013361999999999998,3.8e-05,0.0007483909594372101,0.010526315789473684,0.0012268704253069018,0.01725625539257981
62,16,OMP,0.0012844000000000002,4.14e-05,0.00077857365306758,0.00966183574879227,0.0012557639565606129,0.015583606046439146
63,16,OMP,0.0013362,4.24e-05,0.00074839095943721,0.009433962264150943,0.0011879221578368411,0.014974543276430066
64,16,OMP,0.0014075999999999995,3.48e-05,0.0007104290991759025,0.011494252873563218,0.0011100454674623475,0.017959770114942528
65,16,OMP,0.0015237999999999999,3.9399999999999995e-05,0.0006562541015881349,0.010152284263959392,0.0010096216947509768,0.015618898867629833
66,16,OMP,0.0014534,3.5399999999999986e-05,0.0006880418329434429,0.011299435028248591,0.0010424876256718832,0.017120356103406956
67,16,OMP,0.0012798,4.1e-05,0.0007813720893889669,0.00975609756097561,0.0011662269990880105,0.014561339643247179
68,16,OMP,0.0013592,4.14e-05,0.0007357268981753973,0.00966183574879227,0.0010819513208461724,0.014208581983518044
69,16,OMP,0.0015925999999999998,4.14e-05,0.0006279040562602035,0.00966183574879227,0.0009100058786379762,0.014002660505496044
70,16,OMP,0.0012206,4.6200000000000005e-05,0.0008192692118630181,0.008658008658008656,0.0011703845883757403,0.012368583797155223
71,16,OMP,0.0013180000000000002,4.2e-05,0.0007587253414264036,0.009523809523809525,0.0010686272414456388,0.013413816230717641
72,16,OMP,0.0013852,4.54e-05,0.000721917412647993,0.008810572687224669,0.0010026630731222125,0.012236906510034262
73,16,OMP,0.001539,4.16e-05,0.000649772579597141,0.009615384615384614,0.0008900994241056726,0.013171759747102212
74,16,OMP,0.0015068,4.98e-05,0.0006636580833554553,0.008032128514056224,0.0008968352477776423,0.0108542277216976
75,16,OMP,0.0013062000000000002,4.0399999999999986e-05,0.0007655795437145918,0.009900990099009905,0.0010207727249527889,0.013201320132013205
76,16,OMP,0.0015012,4.44e-05,0.0006661337596589394,0.009009009009009009,0.0008764917890249203,0.011853959222380275
77,16,OMP,0.0015298,4.22e-05,0.0006536802196365538,0.00947867298578199,0.0008489353501773426,0.012309964916599987
78,16,OMP,0.0017067999999999999,4.26e-05,0.0005858917272088118,0.009389671361502348,0.0007511432400112972,0.012038040207054292
79,16,OMP,0.0016452,4.94e-05,0.0006078288353999513,0.008097165991902834,0.0007694035891138624,0.010249577204940297
80,16,OMP,0.0015408000000000002,4.42e-05,0.0006490134994807891,0.00904977375565611,0.0008112668743509865,0.011312217194570135
81,16,OMP,0.0017530000000000002,4.68e-05,0.0005704506560182543,0.008547008547008546,0.0007042600691583386,0.010551862403714255
82,16,OMP,0.0018658,4.6399999999999996e-05,0.0005359631257369493,0.008620689655172414,0.0006536135679718893,0.010513036164844407
83,16,OMP,0.0017908000000000002,4.6399999999999996e-05,0.0005584096493187401,0.008620689655172414,0.0006727827100225784,0.01038637307852098
84,16,OMP,0.0016961999999999995,4.340000000000001e-05,0.0005895531187359983,0.009216589861751149,0.0007018489508761885,0.010972130787798988
85,16,OMP,0.0019530000000000003,4.84e-05,0.0005120327700972861,0.008264462809917356,0.0006023914942321013,0.009722897423432183
86,16,OMP,0.0020870000000000003,4.66e-05,0.000479156684235745,0.008583690987124463,0.0005571589351578431,0.009981036031540073
87,16,OMP,0.0022492,5.02e-05,0.00044460252534234395,0.00796812749003984,0.0005110373854509701,0.00915876722993085
88,16,OMP,0.0022554000000000003,5.560000000000001e-05,0.000443380331648488,0.007194244604316545,0.000503841285964191,0.00817527795945062
89,16,OMP,0.002156,4.760000000000001e-05,0.00046382189239332097,0.008403361344537813,0.0005211481937003607,0.009441979038806532
90,16,OMP,0.0025508,5.94e-05,0.0003920338717265171,0.006734006734006734,0.0004355931908072412,0.0074822297044519264
91,16,OMP,0.0038818000000000004,5.04e-05,0.0002576124478334793,0.007936507936507936,0.0002830906020148124,0.008721437292865864
